Date,ATR,CCI,MACD,MTM,ROC,RSI,open,low,high,close,chg,pct_chg
2015-02-11,38.7120,-18.7881,-4.8166,-3.3210,-4.8188,53.7991,3415.9770,3412.1360,3445.6550,3434.1240,27.1810,0.7978
2015-02-12,47.9550,-7.1945,-2.5965,41.1060,-3.6940,55.4333,3435.3610,3405.6270,3453.5820,3442.8740,8.7500,0.2548
2015-02-13,66.6310,57.2010,1.3227,102.8820,-1.5742,60.5869,3458.8270,3452.0790,3509.5050,3469.8280,26.9540,0.7829
2015-02-16,37.8680,91.0286,6.7439,187.0630,0.5079,65.8071,3473.2890,3466.6070,3504.4750,3499.4830,29.6550,0.8547
2015-02-17,37.3370,144.2880,12.7363,176.4010,2.5603,69.5362,3511.5440,3511.0930,3536.8200,3522.3220,22.8390,0.6526
2015-02-25,65.5950,93.4646,13.8086,71.7860,3.7201,55.6381,3529.5500,3463.9550,3529.5500,3478.7290,-43.5930,-1.2376
2015-02-26,112.4590,129.7869,21.4767,132.1710,3.7484,70.0616,3473.7130,3456.8710,3569.3300,3566.2950,87.5660,2.5172
2015-02-27,34.3580,147.5027,27.7620,129.9690,5.0290,70.9103,3565.2330,3560.4550,3594.8130,3572.8430,6.5480,0.1836
2015-03-02,42.1640,133.0282,34.6373,131.4370,6.9594,74.6530,3603.4520,3566.5270,3608.6910,3601.2650,28.4220,0.7955
2015-03-03,97.0640,62.3314,32.1813,8.4170,5.9014,49.5320,3579.3150,3504.2010,3579.3150,3507.9000,-93.3650,-2.5926
2015-03-04,43.7400,48.7850,31.7189,8.5000,5.5262,54.0840,3514.6670,3497.1720,3540.9120,3530.8220,22.9220,0.6534
2015-03-05,63.1460,8.5675,28.2447,17.6150,2.6241,46.5118,3513.2490,3467.6760,3517.0830,3496.3440,-34.4780,-0.9765
2015-03-06,43.8510,-13.6789,23.7791,-87.7750,1.2928,42.7948,3501.1840,3472.3920,3516.2430,3478.5200,-17.8240,-0.5098
2015-03-09,129.2190,-10.1026,24.7343,-35.0930,2.7557,56.6191,3449.6960,3417.4860,3546.7050,3537.7500,59.2300,1.7027
2015-03-10,39.2200,32.9595,23.8336,-80.6540,1.4636,52.2358,3523.6400,3511.9850,3551.2050,3520.6110,-17.1390,-0.4845
2015-03-11,56.6980,39.7401,23.1787,16.7530,0.7192,53.2598,3524.5750,3512.2180,3568.9160,3524.6530,4.0420,0.1148
2015-03-12,78.6880,130.7231,27.8412,62.0220,2.0021,67.4066,3557.6860,3536.5340,3603.3410,3592.8440,68.1910,1.9347
2015-03-13,48.5480,174.3826,33.1563,121.3130,3.9936,71.2114,3604.6710,3594.7420,3641.3920,3617.6570,24.8130,0.6906
2015-03-16,88.0820,199.4945,43.9638,227.1510,3.9081,80.7675,3641.7730,3621.1190,3705.7390,3705.6710,88.0140,2.4329
2015-03-17,56.9040,213.4416,56.0345,219.3720,5.1578,84.4000,3733.9610,3716.8090,3762.5750,3757.1220,51.4510,1.3884
2015-03-18,88.9330,208.1985,71.9474,325.4440,6.7973,88.7912,3769.0860,3763.8480,3846.0550,3846.0550,88.9330,2.3671
2015-03-19,49.4200,160.6803,83.0910,315.0860,9.4598,86.7111,3851.2490,3809.7060,3859.1260,3839.7390,-6.3160,-0.1642
2015-03-20,84.4470,143.2078,95.0896,299.7300,10.2455,89.2412,3852.4920,3832.4160,3916.8630,3892.5740,52.8350,1.3760
2015-03-23,79.7220,142.7815,109.7475,354.4040,13.6061,91.9933,3923.0830,3922.2100,3972.2960,3972.0610,79.4870,2.0420
2015-03-24,106.0760,114.7395,120.0594,267.3750,14.2166,92.0237,3980.0660,3883.7820,3989.8580,3973.0460,0.9850,0.0248
2015-03-25,66.7280,95.9915,124.1671,183.2900,11.3819,79.9749,3961.5780,3913.9880,3980.7160,3940.4120,-32.6340,-0.8214
2015-03-26,99.1190,84.3510,126.7351,103.9440,12.1964,80.8584,3921.7450,3892.8780,3991.9970,3949.9990,9.5870,0.2433
2015-03-27,60.1620,82.9227,129.0337,131.9580,12.6833,82.9067,3957.5420,3932.8700,3993.0320,3971.6970,21.6980,0.5493
2015-03-30,129.9540,116.7930,138.6561,195.6040,13.7867,89.8816,3999.0240,3999.0240,4101.6510,4088.1780,116.4810,2.9328
2015-03-31,128.2470,116.3396,141.6654,79.1430,11.9842,77.7906,4138.8850,4037.7710,4166.0180,4051.2040,-36.9740,-0.9044
2015-04-01,92.5600,116.4809,148.2073,150.8490,11.2861,83.1410,4057.5010,4046.9390,4139.4990,4123.8950,72.6910,1.7943
2015-04-02,88.1930,118.7029,151.7141,184.3640,9.7855,83.1999,4149.9460,4068.6490,4156.8420,4124.7760,0.8810,0.0214
